"BackupName","FullPath","LastWriteTime","FileCount","SizeBytes","SizeMB"
"ORT_V9_0_5_R3_PROVIDER_REPAIR_20260725_203252","D:\AI TRANSLATOR\ORT_Translation_v8_8_1\ORT\backups\ORT_V9_0_5_R3_PROVIDER_REPAIR_20260725_203252","2026-07-25T20:32:52.7748306+07:00","7","81366","0.08"
"ORT_V9_0_5_R3_PROVIDER_REPAIR_20260725_202300","D:\AI TRANSLATOR\ORT_Translation_v8_8_1\ORT\backups\ORT_V9_0_5_R3_PROVIDER_REPAIR_20260725_202300","2026-07-25T20:23:00.6420052+07:00","7","81366","0.08"
"v9_0_5_r2_20260725_194009","D:\AI TRANSLATOR\ORT_Translation_v8_8_1\ORT\backups\v9_0_5_r2_20260725_194009","2026-07-25T19:40:09.6389333+07:00","33","477295","0.46"
"v9_0_5_r2_20260725_191839","D:\AI TRANSLATOR\ORT_Translation_v8_8_1\ORT\backups\v9_0_5_r2_20260725_191839","2026-07-25T19:18:39.1319426+07:00","23","416197","0.4"
"ORT_V9_0_4_R5_F2_REAZON_DIRECT_MANIFEST_20260725_021036","D:\AI TRANSLATOR\ORT_Translation_v8_8_1\ORT\backups\ORT_V9_0_4_R5_F2_REAZON_DIRECT_MANIFEST_20260725_021036","2026-07-25T02:10:36.1926611+07:00","5","70108","0.07"
"ORT_V9_0_4_R5_F2_REAZON_DIRECT_MANIFEST_20260725_020513","D:\AI TRANSLATOR\ORT_Translation_v8_8_1\ORT\backups\ORT_V9_0_4_R5_F2_REAZON_DIRECT_MANIFEST_20260725_020513","2026-07-25T02:05:13.6974337+07:00","5","70108","0.07"
"ORT_V9_0_4_R5_F1_PROJECT_ROOT_REPAIR_20260725_013338","D:\AI TRANSLATOR\ORT_Translation_v8_8_1\ORT\backups\ORT_V9_0_4_R5_F1_PROJECT_ROOT_REPAIR_20260725_013338","2026-07-25T01:33:38.1592938+07:00","4","209466","0.2"
"ORT_V9_0_4_R4_F3_WEBUI_CALLBACK_CONTRACT_20260725_005623","D:\AI TRANSLATOR\ORT_Translation_v8_8_1\ORT\backups\ORT_V9_0_4_R4_F3_WEBUI_CALLBACK_CONTRACT_20260725_005623","2026-07-25T00:56:23.1398367+07:00","2","181239","0.17"
"ORT_V9_0_4_R4_F2_WEBUI_CALLBACK_AUDIT_20260725_004002","D:\AI TRANSLATOR\ORT_Translation_v8_8_1\ORT\backups\ORT_V9_0_4_R4_F2_WEBUI_CALLBACK_AUDIT_20260725_004002","2026-07-25T00:40:02.5444482+07:00","2","181239","0.17"
"ORT_V9_0_4_R4_F2_WEBUI_CALLBACK_AUDIT_20260725_004000","D:\AI TRANSLATOR\ORT_Translation_v8_8_1\ORT\backups\ORT_V9_0_4_R4_F2_WEBUI_CALLBACK_AUDIT_20260725_004000","2026-07-25T00:40:00.0927081+07:00","2","181239","0.17"
"ORT_V9_0_4_R4_F2_WEBUI_CALLBACK_AUDIT_20260725_003922","D:\AI TRANSLATOR\ORT_Translation_v8_8_1\ORT\backups\ORT_V9_0_4_R4_F2_WEBUI_CALLBACK_AUDIT_20260725_003922","2026-07-25T00:39:22.9327922+07:00","2","181239","0.17"
"ORT_V9_0_4_R4_F2_WEBUI_CALLBACK_AUDIT_20260725_003920","D:\AI TRANSLATOR\ORT_Translation_v8_8_1\ORT\backups\ORT_V9_0_4_R4_F2_WEBUI_CALLBACK_AUDIT_20260725_003920","2026-07-25T00:39:20.0359635+07:00","2","181239","0.17"
"ORT_V9_0_4_R4_F2_WEBUI_CALLBACK_AUDIT_20260725_003917","D:\AI TRANSLATOR\ORT_Translation_v8_8_1\ORT\backups\ORT_V9_0_4_R4_F2_WEBUI_CALLBACK_AUDIT_20260725_003917","2026-07-25T00:39:17.3788352+07:00","2","181239","0.17"
"ORT_V9_0_4_R4_F1_WEBUI_STARTUP_NAMEERROR_20260725_002953","D:\AI TRANSLATOR\ORT_Translation_v8_8_1\ORT\backups\ORT_V9_0_4_R4_F1_WEBUI_STARTUP_NAMEERROR_20260725_002953","2026-07-25T00:29:53.9458865+07:00","2","181239","0.17"
"ORT_V9_0_4_R4_F1_WEBUI_STARTUP_NAMEERROR_20260725_002941","D:\AI TRANSLATOR\ORT_Translation_v8_8_1\ORT\backups\ORT_V9_0_4_R4_F1_WEBUI_STARTUP_NAMEERROR_20260725_002941","2026-07-25T00:29:41.2814097+07:00","2","181239","0.17"
